gene,CARCASMEAN,GUTMEAN,SIG,PARA ,ORTHO,lethaltc,TRANS,HUMAN
gene12,0,0,0,0,4,0,0,0
gene17,24.5276,27.5173,0,0,60,0,0,0
gene42,0,0,0,2,39,0,0,0
gene25,30.9703,41.8434,0,0,148,0,0,0
gene10,10.6684,15.2197,0,3,7,0,0,0
gene65,95.8149,101.542,0,0,136,0,0,0
gene18,67.9681,116.61,1,2,402,0,2,1
gene30,0,0,0,1,169,0,0,0
gene11,7.21207,7.9747,0,22,214,0,0,0
gene68,9.06044,4.42244,1,0,135,0,0,0
gene43,29.4577,84.4891,1,6,1035,0,11,0
gene26,9.35348,1.82854,1,0,215,0,0,0
gene47,3.19168,1.2001,1,5,1006,0,0,0
gene21,25.2434,35.6866,0,0,10,0,0,0
gene87,1.32003,0.178394,1,0,157,0,0,0
CUFF.19,24.108,34.0742,0,1,35,0,0,0
gene79,6.70747,0.168491,1,0,5,0,0,0
gene69,25.7209,16.942,1,0,11,0,0,0
gene41,1.32617,0.639333,0,0,16,0,0,0
gene37,3.92865,20.7061,1,1,259,0,120,0
gene61,8.97142,10.4633,0,4,708,0,0,0
gene14,36.4716,54.6765,1,0,129,0,2,0
gene13,12.474,15.137,0,0,161,0,0,0
gene107,1.21335,1.29656,0,0,6,0,0,0
gene104,5.62345,3.83153,0,1,217,0,0,0
gene101,9.22161,4.68052,1,0,6,0,0,0
gene31,1.07124,0.939998,0,0,6,0,0,0
gene90,1.71031,0.914828,0,0,6,0,0,0
gene49,68.4478,58.4653,0,0,6,0,0,0
gene62,10.7716,13.2382,0,0,218,0,0,0
gene95,18.4885,25.3053,0,0,155,0,0,0
gene71,0.0921101,0.234111,0,0,7,0,0,0
gene93,4.33363,3.53378,0,0,165,0,0,0
gene65,95.8149,101.542,0,0,5,0,0,0
gene3,5.58456,5.7905,0,1,333,0,0,0
gene83,0,0,0,2,402,0,0,0
gene20,18.7834,15.9801,0,0,6,0,0,0
CUFF.20,5.27542,8.22478,0,0,2,0,0,0
gene32,0.181181,0.237889,0,0,155,0,0,0
gene81,0.232366,0.0175101,0,4,150,0,0,0
gene97,31.9663,67.7532,1,5,494,0,6,0
gene64,7.03166,2.7967,1,7,533,0,0,0
gene48,262.925,237.006,0,0,150,0,0,0
gene89,43.4626,49.1184,0,1,724,0,0,0
gene19,18.3538,15.9111,0,0,182,0,0,0
gene9,190.081,194.874,0,0,191,0,0,0
gene100,121.046,173.277,1,1,169,0,4,0
gene102,0.72787,1.25019,0,0,168,0,0,0
gene103,11.3325,11.9942,0,0,145,0,0,0
gene1,19.0338,1.07474,0,1,16,0,0,0
gene52,27.6228,38.5388,0,0,9,0,0,0
CUFF.12,21.9129,30.1156,0,1,183,0,0,0
gene15,24.7288,31.0557,0,0,145,0,0,0
gene45,0.129977,0.171858,0,0,180,0,0,0
gene53,47.846,85.9328,1,0,92,0,2,0
gene91,13.8878,11.1704,0,0,6,0,0,0
gene34,32.8727,32.4819,0,3,307,0,0,0
gene67,1599.73,2060.91,0,0,159,0,0,0
gene108,0,0,0,0,111,0,0,0
gene85,0.0890646,0,0,0,287,0,0,0
gene105,0.454311,0.548318,0,0,191,0,0,0
gene24,1202.56,1255.6,0,13,556,0,0,0
gene82,0.285142,0,0,7,533,0,0,0
gene50,55.1497,85.5641,1,2,11,0,12,0
gene94,30.0298,25.9031,0,5,315,0,0,0
gene51,5.30758,6.82649,0,7,533,0,0,0
CUFF.54,19.1256,12.3507,1,1,187,0,0,0
gene16,20.3137,19.4079,0,2,383,0,0,0
gene70,0.214237,0.058286,0,0,190,0,0,0
gene57,5.29272,5.23746,0,0,124,0,0,0
gene40,0.0148295,0.0214156,0,1,12,0,0,0
CUFF.22,39.5748,31.4051,0,0,4,0,0,0
gene44,6.36757,13.8616,1,0,143,0,48,0
gene84,0.0602361,0,0,30,2344,0,0,0
gene109,2.46226,2.05318,0,0,63,0,0,0
CUFF.15,18.2161,9.29265,1,0,120,0,0,0
gene39,15.6313,13.8813,0,0,186,0,0,0
gene36,117.253,120.86,0,7,533,0,0,0
gene2,11.4088,12.7905,0,1,217,0,0,0
gene72,6.13426,0.905358,1,0,31,0,0,0
gene92,222.263,403.28,1,0,155,0,5,0
CUFF.13,46.8645,43.6952,0,0,5,0,0,0
gene106,0.829302,0.949697,0,0,171,0,0,0
gene54,68.4642,77.2763,0,1,263,0,0,0
gene86,0.0381693,0.0310267,0,1,333,0,0,0
gene77,20.5537,15.9512,0,0,185,0,0,0
gene58,69.8606,866.007,1,2,11,0,8,0
gene22,37.7827,39.3984,0,0,165,0,0,0
gene143,17.0868,3.35268,1,7,533,0,0,0
gene139,0,0,0,1,511,0,0,0
gene129,1147.6,1342.65,0,0,295,0,0,0
gene155,10.2753,15.8619,0,1,12,0,0,0
CUFF.32,9.22333,1.34693,1,2,195,0,0,0
gene122,30.1543,37.7456,0,0,2,0,0,0
gene154,223.414,385.041,1,0,186,0,4,0
gene127,84.2001,94.9902,0,224,9884,0,0,0
gene135,23.1832,45.0343,1,2,711,0,7,0
gene138,0.27834,0.326664,0,0,144,0,0,0
gene116,0.225903,0.107092,0,0,143,0,0,0
gene121,17.5228,9.11908,1,0,171,0,0,0
gene126,180.529,234.028,0,0,124,0,0,0
gene119,18.6938,31.2274,1,3,236,0,9,0
gene110,0.599554,0.609412,0,1,6,0,0,0
gene131,0.034389,0,0,0,160,0,0,0
gene124,54.5244,83.2239,1,0,151,0,8,0
gene136,0.030916,0,0,2,15,0,0,0
gene128,9.98136,14.6356,1,0,2,0,33,0
gene112,4.27472,5.14797,0,0,2,0,0,0
gene120,8.4279,11.8886,0,0,145,0,0,0
gene134,5.81375,6.61877,0,0,6,0,0,0
